Task ID,Layer,Category,Sub-Category,Task Name,Description,Estimated Days,Priority,Start Date,End Date,Status
T001,Infrastructure,PostgreSQL,DB Setup,Provision RDS / Local Postgres,Set up PostgreSQL on AWS RDS or local Docker for dev. Configure connection string.,1,Critical,06-Mar-2026,06-Mar-2026,Not Started
T002,Infrastructure,PostgreSQL,DB Setup,Run DDL Schema Migrations,Execute schema.sql to create all 22 tables with indexes and constraints.,1,Critical,07-Mar-2026,07-Mar-2026,Not Started
T003,Infrastructure,PostgreSQL,DB Setup,Set up PgBouncer Connection Pooling,Install and configure PgBouncer in front of Postgres for high-RPS connection management.,1,Critical,09-Mar-2026,09-Mar-2026,Not Started
T004,Infrastructure,PostgreSQL,DB Setup,Configure Read Replica,Set up a read replica for dashboard and reporting queries to offload primary.,1,High,10-Mar-2026,10-Mar-2026,Not Started
T005,Infrastructure,PostgreSQL,DB Setup,Seed Reference Data,Seed initial data: property, room_categories, bookable_units per eZee room structure.,2,Critical,11-Mar-2026,12-Mar-2026,Not Started
T006,Infrastructure,Redis,Cache Setup,Provision Redis Cluster (AWS ElastiCache or local),Set up Redis for session storage and caching.,1,Critical,06-Mar-2026,06-Mar-2026,Not Started
T007,Infrastructure,Redis,Cache Setup,Configure Redis namespaces and TTLs,Define key prefixes and TTLs for sessions (30d) / catalog cache (5m) / inventory (10s) / OTP (5m).,1,High,09-Mar-2026,09-Mar-2026,Not Started
T008,Infrastructure,Redis,Cache Setup,Set up BullMQ queue definitions,Define all queue names: ezee-sync / sla-timer / hold-expiry / notifications. Configure concurrency.,2,Critical,10-Mar-2026,11-Mar-2026,Not Started
T009,Infrastructure,Kafka,Broker Setup,Provision Kafka broker (or evaluate BullMQ-only alternative),Set up Kafka via Docker Compose (Kraft mode) or AWS MSK. Decide Kafka vs BullMQ based on team capacity.,2,High,09-Mar-2026,10-Mar-2026,Not Started
T010,Infrastructure,Kafka,Broker Setup,Define Kafka topics and consumer groups,Topics: booking-events / payment-events / kyc-events / task-events / sync-events.,1,High,11-Mar-2026,11-Mar-2026,Not Started
T011,Infrastructure,Kafka,Broker Setup,Configure dead-letter queues (DLQ),Set up DLQs for failed eZee sync messages with alerting.,1,Medium,12-Mar-2026,12-Mar-2026,Not Started
T012,Infrastructure,DevOps,CI/CD,Set up Docker containers for all services,Write Dockerfiles for each microservice and the frontend.,3,Critical,06-Mar-2026,10-Mar-2026,Not Started
T013,Infrastructure,DevOps,CI/CD,Docker Compose for local dev environment,Unified docker-compose.yml: frontend + all services + postgres + redis + kafka.,2,Critical,11-Mar-2026,12-Mar-2026,Not Started
T014,Infrastructure,DevOps,CI/CD,GitHub Actions CI pipeline,Auto-run lint and tests on every push. Block merge on failure.,2,High,13-Mar-2026,14-Mar-2026,Not Started
T015,Infrastructure,DevOps,CI/CD,AWS ECS or EKS deployment config,Task definitions / Helm charts for blue-green zero-downtime deployments.,3,High,30-Mar-2026,02-Apr-2026,Not Started
T016,Infrastructure,DevOps,CI/CD,Configure AWS ALB health checks,ALB target group health checks for all service containers.,1,High,03-Apr-2026,03-Apr-2026,Not Started
T017,API Gateway,API Gateway,Setup,Scaffold API Gateway service (Fastify),Create the Node.js Fastify project. Mount all service routers under versioned prefixes.,2,Critical,09-Mar-2026,10-Mar-2026,Not Started
T018,API Gateway,API Gateway,Auth Middleware,JWT verification middleware,Middleware that validates JWT on every protected route. Returns 401 on failure.,2,Critical,11-Mar-2026,12-Mar-2026,Not Started
T019,API Gateway,API Gateway,Rate Limiting,Redis-based rate limiter,Sliding window rate limiter per IP (global) and per guest_id (per auth route).,2,High,13-Mar-2026,14-Mar-2026,Not Started
T020,API Gateway,API Gateway,Routing,Route definitions for all 10 services,Register all service route prefixes: /auth / /bookings / /kyc / /payments / /catalog / /orders / /tasks / /extensions / /locks / /notifications.,2,Critical,13-Mar-2026,14-Mar-2026,Not Started
T021,API Gateway,API Gateway,Logging,Request/response logging and correlation IDs,Log all requests with correlation ID + service name + latency. Ship to CloudWatch.,1,Medium,17-Mar-2026,17-Mar-2026,Not Started
T022,Backend,Auth Service,Core,Scaffold Auth Service project,Create Node.js Fastify or Go project with DB connection and Redis client.,1,Critical,09-Mar-2026,09-Mar-2026,Not Started
T023,Backend,Auth Service,Core,POST /auth/signup - Email & Password,Registration with email/password. Hash password with bcrypt. Send verification email.,2,Critical,10-Mar-2026,11-Mar-2026,Not Started
T024,Backend,Auth Service,Core,POST /auth/login - Email & Password,Validate credentials. Issue JWT + refresh token. Store session in Redis.,2,Critical,10-Mar-2026,11-Mar-2026,Not Started
T025,Backend,Auth Service,Core,Google OAuth flow,Google OAuth2 callback. Upsert guest + auth_provider record. Issue JWT.,2,Critical,12-Mar-2026,13-Mar-2026,Not Started
T026,Backend,Auth Service,Core,POST /auth/otp/send - WhatsApp & Email,Generate OTP. Hash and store in otp_logs. Emit SEND_OTP to Notification queue. Enforce 5/min rate limit.,2,Critical,12-Mar-2026,13-Mar-2026,Not Started
T027,Backend,Auth Service,Core,POST /auth/otp/verify - Phone / Email,Validate OTP hash + expiry. Mark phone_verified or email_verified. Issue JWT.,2,Critical,14-Mar-2026,15-Mar-2026,Not Started
T028,Backend,Auth Service,Core,GET /auth/me - Profile endpoint,Return authenticated guest profile from DB.,1,High,14-Mar-2026,14-Mar-2026,Not Started
T029,Backend,Auth Service,Core,PATCH /auth/me - Update profile,Allow guest to update name and profile_photo_url.,1,Medium,17-Mar-2026,17-Mar-2026,Not Started
T030,Backend,Auth Service,Core,JWT refresh token rotation,Issue new access token from valid refresh token. Revoke old refresh token.,2,High,17-Mar-2026,18-Mar-2026,Not Started
T031,Backend,Booking Service,Core,Scaffold Booking Service project,Create project with DB + Redis client.,1,Critical,11-Mar-2026,11-Mar-2026,Not Started
T032,Backend,Booking Service,Core,GET /bookings/:id - Fetch booking,Return full booking details including booking_units and booking_guests.,2,Critical,12-Mar-2026,13-Mar-2026,Not Started
T033,Backend,Booking Service,Core,GET /bookings/guest/:guestId - All bookings,Return all historical bookings linked to a guest (multi-booking history).,2,High,12-Mar-2026,13-Mar-2026,Not Started
T034,Backend,Booking Service,Core,POST /bookings/:id/link-guest - Link secondary guest,Validate booking_id. Create PENDING_APPROVAL booking_guest row. Emit OTP to primary guest.,3,Critical,14-Mar-2026,17-Mar-2026,Not Started
T035,Backend,Booking Service,Core,POST /bookings/:id/approve-guest - Approve secondary,Primary guest clicks approve link from WhatsApp. Verify OTP. Set status to APPROVED.,2,Critical,18-Mar-2026,19-Mar-2026,Not Started
T036,Backend,Booking Service,Core,eZee webhook ingest / booking sync,Receive eZee PMS webhooks for new reservations. Create/update bookings + booking_units in DB.,4,Critical,18-Mar-2026,21-Mar-2026,Not Started
T037,Backend,Booking Service,Core,PATCH /bookings/:id/assign-unit - Assign bed at check-in,Update booking_unit.unit_id and status when front desk assigns a bed.,2,High,24-Mar-2026,25-Mar-2026,Not Started
T038,Backend,KYC Engine,Pre-Checkin,Scaffold KYC Engine project,Create project with DB + file storage client (AWS S3 or similar).,1,Critical,14-Mar-2026,14-Mar-2026,Not Started
T039,Backend,KYC Engine,Pre-Checkin,POST /kyc/upload - Front & back ID upload,Accept image upload. Store in S3. Create kyc_submission record.,2,Critical,17-Mar-2026,18-Mar-2026,Not Started
T040,Backend,KYC Engine,Pre-Checkin,Google Vision OCR trigger on upload,Call Vision API on uploaded images. Parse name / DOB / ID number / address. Update kyc_submission with OCR results.,3,Critical,19-Mar-2026,21-Mar-2026,Not Started
T041,Backend,KYC Engine,Pre-Checkin,GET /kyc/:bookingId/status - KYC status,Return current kyc_submission and checkin_record status for a booking.,1,High,24-Mar-2026,24-Mar-2026,Not Started
T042,Backend,KYC Engine,Pre-Checkin,POST /kyc/submit - Final submission,Guest confirms OCR data + travel info + consent. Set status to PRE_VERIFIED.,2,Critical,24-Mar-2026,25-Mar-2026,Not Started
T043,Backend,KYC Engine,Onsite Check-in,POST /checkin/face-match - Selfie liveness + matching,Accept selfie from kiosk. Call Vision API to compare with uploaded ID photo. Score threshold > 0.85. 1 retry then manual override flag.,4,Critical,26-Mar-2026,31-Mar-2026,Not Started
T044,Backend,KYC Engine,Onsite Check-in,POST /checkin/scan-id - Physical ID scan + compare,Accept onsite scan. OCR it. Compare ID number + name with PRE_VERIFIED submission. Block on mismatch.,3,Critical,26-Mar-2026,28-Mar-2026,Not Started
T045,Backend,KYC Engine,Onsite Check-in,POST /checkin/sign - Capture signature,Accept base64 signature PNG from kiosk canvas. Store URL.,1,High,31-Mar-2026,31-Mar-2026,Not Started
T046,Backend,KYC Engine,Onsite Check-in,POST /checkin/complete - Complete check-in,Generate G-Card PDF. Update status to CHECKED_IN. Emit CHECKIN_COMPLETE event.,3,Critical,01-Apr-2026,03-Apr-2026,Not Started
T047,Backend,KYC Engine,Onsite Check-in,Manual override staff endpoint,Staff can override failed face match for a booking. Records manual_override_by.,2,High,03-Apr-2026,04-Apr-2026,Not Started
T048,Backend,Payment Service,Core,Scaffold Payment Service project,Create project with Razorpay SDK and DB client.,1,Critical,14-Mar-2026,14-Mar-2026,Not Started
T049,Backend,Payment Service,Core,POST /payments/create-order - Create Razorpay order,Accept amount + booking_id. Create Razorpay order. Insert payment row with PENDING status. Schedule hold-expiry job (10 min).,3,Critical,17-Mar-2026,19-Mar-2026,Not Started
